actual_cost,ccg,date,items,quantity,row_id,row_name,setting
466.79,00K,2017-05-01,37,988,A81001,THE DENSHAM SURGERY,4
3351.94,00K,2017-05-01,182,5819,A81002,QUEENS PARK MEDICAL CENTRE,4
145.84,00M,2017-05-01,47,989,A81004,BLUEBELL MEDICAL CENTRE,4
347.89,00M,2017-05-01,71,1762,A81005,SPRINGWOOD SURGERY,4
1182.15,00K,2017-05-01,93,2673,A81006,TENNANT STREET MEDICAL PRACTICE,4
310.42,00K,2017-05-01,40,1177,A81007,BANKHOUSE SURGERY,4
148.26,00M,2017-05-01,36,918,A81009,VILLAGE MEDICAL CENTRE,4
380.67,00K,2017-05-01,63,1574,A81011,CHADWICK PRACTICE,4
72.06,00M,2017-05-01,18,280,A81012,WESTBOURNE MEDICAL CENTRE,4
249.24,00M,2017-05-01,28,844,A81013,BROTTON SURGERY,4
918.02,00K,2017-05-01,43,1312,A81014,QUEENSTREE PRACTICE,4
250.91,00M,2017-05-01,15,484,A81015,LAGAN SURGERY,4
72.81,00M,2017-05-01,38,994,A81016,PARK SURGERY,4
1547.72,00K,2017-05-01,150,3671,A81017,WOODBRIDGE PRACTICE,4
309.06,00M,2017-05-01,58,1409,A81018,BENTLEY MEDICAL PRACTICE,4
286.71,00M,2017-05-01,60,1721,A81019,CROSSFELL HEALTH CENTRE,4
240.59,00M,2017-05-01,49,1136,A81020,MARTONSIDE MEDICAL CENTRE,4
458.38,00M,2017-05-01,162,2381,A81021,NORMANBY MEDICAL CENTRE,4
269.17,00M,2017-05-01,38,1100,A81022,HILLSIDE PRACTICE,4
24.56,00M,2017-05-01,21,483,A81023,THE ENDEAVOUR PRACTICE,4
835.38,00K,2017-05-01,41,1242,A81025,THE DOVECOT SURGERY,4
191.3,00M,2017-05-01,84,2181,A81026,LINTHORPE SURGERY,4
726.96,00K,2017-05-01,110,2704,A81027,YARM MEDICAL PRACTICE,4
103.23,00M,2017-05-01,40,751,A81029,PROSPECT SURGERY,4
328.74,00M,2017-05-01,102,2473,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
595.38,00K,2017-05-01,87,2792,A81031,HAVELOCK GRANGE PRACTICE,4
408.24,00M,2017-05-01,66,1715,A81032,THE GARTH,4
15.84,00M,2017-05-01,24,364,A81033,OAKFIELD MEDICAL PRACTICE,4
1610.6,00K,2017-05-01,115,3854,A81034,THORNABY & BARWICK MEDICAL GROUP,4
174.72,00M,2017-05-01,45,1113,A81035,NEWLANDS MEDICAL CENTRE,4
1307.64,00K,2017-05-01,128,3525,A81036,NORTON MEDICAL CENTRE,4
246.39,00M,2017-05-01,39,1164,A81037,THE ERIMUS PRACTICE,4
41.93,00M,2017-05-01,13,308,A81038,HIRSEL MEDICAL CENTRE,4
374.5,00K,2017-05-01,36,1131,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
717.6,00K,2017-05-01,50,1261,A81040,MARSH HOUSE MEDICAL PRACTICE,4
260.16,00K,2017-05-01,59,1598,A81041,HART MEDICAL PRACTICE,4
