actual_cost,ccg,date,items,quantity,row_id,row_name,setting
413.54,00K,2018-10-01,32,809,A81001,THE DENSHAM SURGERY,4
1889.36,00K,2018-10-01,136,3832,A81002,QUEENS PARK MEDICAL CENTRE,4
272.44,00M,2018-10-01,50,1024,A81004,BLUEBELL MEDICAL CENTRE,4
658.28,00M,2018-10-01,77,2324,A81005,SPRINGWOOD SURGERY,4
1697.82,00K,2018-10-01,108,2943,A81006,TENNANT STREET MEDICAL PRACTICE,4
192.53,00K,2018-10-01,40,1109,A81007,BANKHOUSE SURGERY,4
373.21,00M,2018-10-01,31,924,A81009,VILLAGE MEDICAL CENTRE,4
422.96,00K,2018-10-01,60,1566,A81011,CHADWICK PRACTICE,4
192.46,00M,2018-10-01,21,350,A81012,WESTBOURNE MEDICAL CENTRE,4
109.4,00M,2018-10-01,32,772,A81013,BROTTON SURGERY,4
652.12,00K,2018-10-01,34,1062,A81014,QUEENSTREE PRACTICE,4
200.01,00M,2018-10-01,35,1001,A81016,PARK SURGERY,4
1430.93,00K,2018-10-01,122,3213,A81017,WOODBRIDGE PRACTICE,4
384.73,00M,2018-10-01,78,1817,A81018,BENTLEY MEDICAL PRACTICE,4
304.57,00M,2018-10-01,40,1233,A81019,CROSSFELL HEALTH CENTRE,4
241.01,00M,2018-10-01,57,1514,A81020,MARTONSIDE MEDICAL CENTRE,4
673.93,00M,2018-10-01,133,2587,A81021,NORMANBY MEDICAL CENTRE,4
387.49,00M,2018-10-01,54,1395,A81022,HILLSIDE PRACTICE,4
18.96,00M,2018-10-01,17,427,A81023,THE ENDEAVOUR PRACTICE,4
531.61,00K,2018-10-01,34,811,A81025,THE DOVECOT SURGERY,4
484.69,00M,2018-10-01,99,2622,A81026,LINTHORPE SURGERY,4
802.29,00K,2018-10-01,129,2875,A81027,YARM MEDICAL PRACTICE,4
175.57,00M,2018-10-01,36,674,A81029,PROSPECT SURGERY,4
308.61,00M,2018-10-01,90,2022,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
221.91,00K,2018-10-01,52,1754,A81031,HAVELOCK GRANGE PRACTICE,4
481.18,00M,2018-10-01,87,2518,A81032,THE GARTH,4
1724.77,00K,2018-10-01,112,3486,A81034,THORNABY & BARWICK MEDICAL GROUP,4
88.89,00M,2018-10-01,44,987,A81035,NEWLANDS MEDICAL CENTRE,4
1591.7,00K,2018-10-01,131,4000,A81036,NORTON MEDICAL CENTRE,4
130.12,00M,2018-10-01,20,612,A81037,THE ERIMUS PRACTICE,4
164.27,00M,2018-10-01,18,372,A81038,HIRSEL MEDICAL CENTRE,4
1044.83,00K,2018-10-01,65,1954,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
1071.24,00K,2018-10-01,50,1429,A81040,MARSH HOUSE MEDICAL PRACTICE,4
288.22,00K,2018-10-01,75,1684,A81041,HART MEDICAL PRACTICE,4
422.68,00M,2018-10-01,104,1950,A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,4
376.07,00M,2018-10-01,52,1506,A81043,THE MANOR HOUSE SURGERY,4
748.36,00K,2018-10-01,152,2823,A81044,MCKENZIE HOUSE SURGERY,4
427.14,00M,2018-10-01,86,1909,A81045,THE COATHAM ROAD SURGERY,4
998.51,00K,2018-10-01,101,2856,A81046,WOODLANDS FAMILY MEDICAL CENTRE,4
287.46,00M,2018-10-01,127,1480,A81048,ZETLAND MEDICAL PRACTICE,4
162.98,00M,2018-10-01,29,780,A81049,KINGS MEDICAL CENTRE,4
337.11,00M,2018-10-01,31,830,A81051,CAMBRIDGE MEDICAL GROUP,4
561.02,00M,2018-10-01,98,1985,A81052,THE GREEN HOUSE SURGERY,4
142.61,00M,2018-10-01,44,767,A81053,WOODSIDE SURGERY,4
412.15,00M,2018-10-01,100,2020,A81054,THE SALTSCAR SURGERY,4
278.13,00K,2018-10-01,15,504,A81056,MELROSE SURGERY,4
1065.59,00K,2018-10-01,61,1950,A81057,KINGSWAY MEDICAL CENTRE,4
186.39,00M,2018-10-01,58,1477,A81058,COULBY MEDICAL PRACTICE,4
118.47,00K,2018-10-01,34,1152,A81060,THE KOH PRACTICE,4
172.61,00K,2018-10-01,39,828,A81063,THE HEADLAND MEDICAL CENTRE,4
226.98,00M,2018-10-01,17,494,A81064,THE DISCOVERY PRACTICE,4
65.67,00M,2018-10-01,16,448,A81065,THE ESTON SURGERY,4
327.09,00K,2018-10-01,17,534,A81066,PARK LANE SURGERY,4
825.07,00K,2018-10-01,50,1524,A81067,ALMA MEDICAL CENTRE,4
531.3,00K,2018-10-01,105,1827,A81070,MCKENZIE GROUP PRACTICE,4
198.0,00K,2018-10-01,9,280,A81602,DR RASOOL,4
220.62,00K,2018-10-01,16,443,A81608,ELM TREE SURGERY,4
373.55,00K,2018-10-01,23,664,A81610,THE ROSEBERRY PRACTICE,4
338.17,00M,2018-10-01,43,1501,A81611,PARKWAY MEDICAL CENTRE,4
206.95,00K,2018-10-01,23,367,A81612,THE PATEL PRACTICE,4
779.86,00M,2018-10-01,160,3325,A81618,HUNTCLIFF SURGERY,4
7.92,00M,2018-10-01,11,147,A81621,THORNTREE SURGERY,4
129.01,00K,2018-10-01,47,686,A81622,GLADSTONE HOUSE SURGERY,4
568.7,00K,2018-10-01,31,835,A81629,RIVERSIDE MEDICAL PRACTICE,4
406.74,00K,2018-10-01,31,966,A81631,WEST VIEW MILLENIUM SURGERY A,4
1.49,00K,2018-10-01,4,28,A81634,THE ARRIVAL PRACTICE,4
619.89,01K,2018-10-01,59,1944,A82003,ULVERSTON HEALTH CENTRE (MURRAY),4
94.95,01H,2018-10-01,11,198,A82004,ALSTON MEDICAL PRACTICE,4
227.53,01K,2018-10-01,46,1180,A82005,AMBLESIDE HEALTH CENTRE,4
438.14,01H,2018-10-01,37,1154,A82006,APPLEBY MEDICAL PRACTICE,4
364.53,01K,2018-10-01,61,1584,A82007,DUKE STREET SURGERY,4
748.52,01K,2018-10-01,76,2328,A82008,NORWOOD MEDICAL CENTRE,4
540.6,01K,2018-10-01,69,2005,A82009,BRIDGEGATE MEDICAL CENTRE,4
245.08,01K,2018-10-01,57,1260,A82010,ABBEY ROAD SURGERY,4
1203.8,01H,2018-10-01,139,2752,A82012,BRAMPTON MEDICAL PRACTICE,4
331.11,01H,2018-10-01,52,1370,A82013,UPPER EDEN MEDICAL PRACTICE,4
200.9,01H,2018-10-01,63,765,A82014,CALDBECK SURGERY,4
317.0,01H,2018-10-01,33,958,A82015,WARWICK ROAD SURGERY,4
1947.92,01H,2018-10-01,210,6928,A82016,CARLISLE HEALTHCARE,4
699.28,01H,2018-10-01,84,3120,A82018,SPENCER ST SURGERY,4
501.27,01H,2018-10-01,71,2012,A82019,FUSEHILL MEDICAL PRACTICE,4
1231.2,01H,2018-10-01,89,3009,A82020,EDEN MEDICAL GROUP,4
964.75,01H,2018-10-01,102,3413,A82021,CASTLEGATE AND DERWENT SURGERY,4
200.24,01H,2018-10-01,53,709,A82022,DALSTON MEDICAL GROUP,4
187.13,01H,2018-10-01,28,706,A82023,DISTINGTON SURGERY,4
286.7,01H,2018-10-01,45,1294,A82024,SEASCALE HEALTH CENTRE,4
437.63,01K,2018-10-01,60,1335,A82025,CAPTAIN FRENCH SURGERY,4
