actual_cost,ccg,date,items,quantity,row_id,row_name,setting
413.4,00K,2018-07-01,33,837,A81001,THE DENSHAM SURGERY,4
2669.34,00K,2018-07-01,184,5362,A81002,QUEENS PARK MEDICAL CENTRE,4
256.71,00M,2018-07-01,52,1134,A81004,BLUEBELL MEDICAL CENTRE,4
478.11,00M,2018-07-01,73,1996,A81005,SPRINGWOOD SURGERY,4
1705.05,00K,2018-07-01,104,2867,A81006,TENNANT STREET MEDICAL PRACTICE,4
269.75,00K,2018-07-01,48,1444,A81007,BANKHOUSE SURGERY,4
249.53,00M,2018-07-01,35,937,A81009,VILLAGE MEDICAL CENTRE,4
529.35,00K,2018-07-01,54,1405,A81011,CHADWICK PRACTICE,4
242.25,00M,2018-07-01,24,371,A81012,WESTBOURNE MEDICAL CENTRE,4
130.11,00M,2018-07-01,31,779,A81013,BROTTON SURGERY,4
663.38,00K,2018-07-01,38,1172,A81014,QUEENSTREE PRACTICE,4
44.4,00M,2018-07-01,41,1127,A81016,PARK SURGERY,4
1166.39,00K,2018-07-01,113,2886,A81017,WOODBRIDGE PRACTICE,4
223.34,00M,2018-07-01,71,1564,A81018,BENTLEY MEDICAL PRACTICE,4
269.3,00M,2018-07-01,38,1098,A81019,CROSSFELL HEALTH CENTRE,4
240.33,00M,2018-07-01,62,1526,A81020,MARTONSIDE MEDICAL CENTRE,4
424.42,00M,2018-07-01,128,2079,A81021,NORMANBY MEDICAL CENTRE,4
338.82,00M,2018-07-01,42,1086,A81022,HILLSIDE PRACTICE,4
24.11,00M,2018-07-01,18,518,A81023,THE ENDEAVOUR PRACTICE,4
751.32,00K,2018-07-01,32,958,A81025,THE DOVECOT SURGERY,4
704.69,00M,2018-07-01,97,2820,A81026,LINTHORPE SURGERY,4
796.67,00K,2018-07-01,131,2944,A81027,YARM MEDICAL PRACTICE,4
92.05,00M,2018-07-01,32,513,A81029,PROSPECT SURGERY,4
304.3,00M,2018-07-01,82,1866,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
373.74,00K,2018-07-01,52,1790,A81031,HAVELOCK GRANGE PRACTICE,4
334.83,00M,2018-07-01,74,2106,A81032,THE GARTH,4
1476.08,00K,2018-07-01,101,3205,A81034,THORNABY & BARWICK MEDICAL GROUP,4
45.36,00M,2018-07-01,48,1078,A81035,NEWLANDS MEDICAL CENTRE,4
1715.36,00K,2018-07-01,137,4167,A81036,NORTON MEDICAL CENTRE,4
22.23,00M,2018-07-01,20,560,A81037,THE ERIMUS PRACTICE,4
77.58,00M,2018-07-01,14,254,A81038,HIRSEL MEDICAL CENTRE,4
952.58,00K,2018-07-01,70,2020,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
859.99,00K,2018-07-01,56,1547,A81040,MARSH HOUSE MEDICAL PRACTICE,4
249.79,00K,2018-07-01,58,1442,A81041,HART MEDICAL PRACTICE,4
514.42,00M,2018-07-01,121,2112,A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,4
284.18,00M,2018-07-01,53,1506,A81043,THE MANOR HOUSE SURGERY,4
740.38,00K,2018-07-01,125,2343,A81044,MCKENZIE HOUSE SURGERY,4
334.44,00M,2018-07-01,72,1442,A81045,THE COATHAM ROAD SURGERY,4
1540.46,00K,2018-07-01,108,3201,A81046,WOODLANDS FAMILY MEDICAL CENTRE,4
408.68,00M,2018-07-01,151,1756,A81048,ZETLAND MEDICAL PRACTICE,4
180.56,00M,2018-07-01,33,744,A81049,KINGS MEDICAL CENTRE,4
277.42,00M,2018-07-01,41,961,A81051,CAMBRIDGE MEDICAL GROUP,4
431.49,00M,2018-07-01,93,1850,A81052,THE GREEN HOUSE SURGERY,4
82.28,00M,2018-07-01,48,676,A81053,WOODSIDE SURGERY,4
333.19,00M,2018-07-01,89,1470,A81054,THE SALTSCAR SURGERY,4
312.36,00K,2018-07-01,16,604,A81056,MELROSE SURGERY,4
958.51,00K,2018-07-01,51,1658,A81057,KINGSWAY MEDICAL CENTRE,4
128.95,00M,2018-07-01,52,1482,A81058,COULBY MEDICAL PRACTICE,4
101.42,00K,2018-07-01,28,933,A81060,THE KOH PRACTICE,4
59.27,00K,2018-07-01,28,616,A81063,THE HEADLAND MEDICAL CENTRE,4
22.09,00M,2018-07-01,20,504,A81064,THE DISCOVERY PRACTICE,4
56.56,00M,2018-07-01,10,280,A81065,THE ESTON SURGERY,4
298.3,00K,2018-07-01,17,532,A81066,PARK LANE SURGERY,4
