actual_cost,ccg,date,items,quantity,row_id,row_name,setting
536.91,00K,2018-11-01,40,947,A81001,THE DENSHAM SURGERY,4
2170.38,00K,2018-11-01,164,5038,A81002,QUEENS PARK MEDICAL CENTRE,4
281.29,00M,2018-11-01,65,1423,A81004,BLUEBELL MEDICAL CENTRE,4
580.62,00M,2018-11-01,76,2354,A81005,SPRINGWOOD SURGERY,4
1652.85,00K,2018-11-01,123,3442,A81006,TENNANT STREET MEDICAL PRACTICE,4
205.89,00K,2018-11-01,47,1386,A81007,BANKHOUSE SURGERY,4
304.81,00M,2018-11-01,43,975,A81009,VILLAGE MEDICAL CENTRE,4
280.36,00K,2018-11-01,57,1288,A81011,CHADWICK PRACTICE,4
170.04,00M,2018-11-01,21,413,A81012,WESTBOURNE MEDICAL CENTRE,4
81.33,00M,2018-11-01,31,737,A81013,BROTTON SURGERY,4
740.1,00K,2018-11-01,39,1202,A81014,QUEENSTREE PRACTICE,4
89.99,00M,2018-11-01,37,987,A81016,PARK SURGERY,4
1242.96,00K,2018-11-01,109,2874,A81017,WOODBRIDGE PRACTICE,4
373.33,00M,2018-11-01,76,1660,A81018,BENTLEY MEDICAL PRACTICE,4
323.47,00M,2018-11-01,34,1076,A81019,CROSSFELL HEALTH CENTRE,4
252.98,00M,2018-11-01,60,1668,A81020,MARTONSIDE MEDICAL CENTRE,4
740.3,00M,2018-11-01,138,2580,A81021,NORMANBY MEDICAL CENTRE,4
440.06,00M,2018-11-01,47,1192,A81022,HILLSIDE PRACTICE,4
7.44,00M,2018-11-01,13,175,A81023,THE ENDEAVOUR PRACTICE,4
388.57,00K,2018-11-01,33,828,A81025,THE DOVECOT SURGERY,4
607.85,00M,2018-11-01,105,2990,A81026,LINTHORPE SURGERY,4
897.37,00K,2018-11-01,128,2700,A81027,YARM MEDICAL PRACTICE,4
116.29,00M,2018-11-01,37,684,A81029,PROSPECT SURGERY,4
450.02,00M,2018-11-01,92,2020,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
479.54,00K,2018-11-01,59,2022,A81031,HAVELOCK GRANGE PRACTICE,4
562.1,00M,2018-11-01,92,2715,A81032,THE GARTH,4
1439.58,00K,2018-11-01,112,3261,A81034,THORNABY & BARWICK MEDICAL GROUP,4
250.83,00M,2018-11-01,53,1375,A81035,NEWLANDS MEDICAL CENTRE,4
1410.98,00K,2018-11-01,146,4291,A81036,NORTON MEDICAL CENTRE,4
53.65,00M,2018-11-01,20,562,A81037,THE ERIMUS PRACTICE,4
246.8,00M,2018-11-01,25,401,A81038,HIRSEL MEDICAL CENTRE,4
1000.94,00K,2018-11-01,63,1872,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
