actual_cost,ccg,date,items,quantity,row_id,row_name,setting
492.92,00K,2018-06-01,45,1194,A81001,THE DENSHAM SURGERY,4
2161.83,00K,2018-06-01,161,4631,A81002,QUEENS PARK MEDICAL CENTRE,4
210.75,00M,2018-06-01,45,917,A81004,BLUEBELL MEDICAL CENTRE,4
356.08,00M,2018-06-01,61,1732,A81005,SPRINGWOOD SURGERY,4
1175.58,00K,2018-06-01,93,2523,A81006,TENNANT STREET MEDICAL PRACTICE,4
362.85,00K,2018-06-01,43,1304,A81007,BANKHOUSE SURGERY,4
164.27,00M,2018-06-01,28,709,A81009,VILLAGE MEDICAL CENTRE,4
354.6,00K,2018-06-01,64,1496,A81011,CHADWICK PRACTICE,4
89.57,00M,2018-06-01,23,406,A81012,WESTBOURNE MEDICAL CENTRE,4
101.59,00M,2018-06-01,26,686,A81013,BROTTON SURGERY,4
643.18,00K,2018-06-01,33,1086,A81014,QUEENSTREE PRACTICE,4
62.12,00M,2018-06-01,28,826,A81016,PARK SURGERY,4
1265.45,00K,2018-06-01,112,2791,A81017,WOODBRIDGE PRACTICE,4
202.07,00M,2018-06-01,74,1583,A81018,BENTLEY MEDICAL PRACTICE,4
331.12,00M,2018-06-01,42,1274,A81019,CROSSFELL HEALTH CENTRE,4
379.17,00M,2018-06-01,61,1561,A81020,MARTONSIDE MEDICAL CENTRE,4
823.55,00M,2018-06-01,125,2493,A81021,NORMANBY MEDICAL CENTRE,4
346.88,00M,2018-06-01,47,1233,A81022,HILLSIDE PRACTICE,4
18.93,00M,2018-06-01,18,378,A81023,THE ENDEAVOUR PRACTICE,4
517.84,00K,2018-06-01,31,947,A81025,THE DOVECOT SURGERY,4
376.82,00M,2018-06-01,96,2677,A81026,LINTHORPE SURGERY,4
720.89,00K,2018-06-01,114,2696,A81027,YARM MEDICAL PRACTICE,4
225.59,00M,2018-06-01,34,620,A81029,PROSPECT SURGERY,4
411.88,00M,2018-06-01,90,2035,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
566.38,00K,2018-06-01,64,2150,A81031,HAVELOCK GRANGE PRACTICE,4
