actual_cost,ccg,date,items,quantity,row_id,row_name,setting
493.68,00K,2018-08-01,39,1012,A81001,THE DENSHAM SURGERY,4
1992.39,00K,2018-08-01,155,4454,A81002,QUEENS PARK MEDICAL CENTRE,4
230.55,00M,2018-08-01,48,952,A81004,BLUEBELL MEDICAL CENTRE,4
763.09,00M,2018-08-01,74,2371,A81005,SPRINGWOOD SURGERY,4
1787.29,00K,2018-08-01,121,3501,A81006,TENNANT STREET MEDICAL PRACTICE,4
131.3,00K,2018-08-01,44,1267,A81007,BANKHOUSE SURGERY,4
291.23,00M,2018-08-01,39,862,A81009,VILLAGE MEDICAL CENTRE,4
398.92,00K,2018-08-01,67,1646,A81011,CHADWICK PRACTICE,4
154.59,00M,2018-08-01,21,371,A81012,WESTBOURNE MEDICAL CENTRE,4
168.66,00M,2018-08-01,38,930,A81013,BROTTON SURGERY,4
835.96,00K,2018-08-01,34,1158,A81014,QUEENSTREE PRACTICE,4
47.86,00M,2018-08-01,36,1092,A81016,PARK SURGERY,4
1385.6,00K,2018-08-01,123,3232,A81017,WOODBRIDGE PRACTICE,4
236.56,00M,2018-08-01,72,1648,A81018,BENTLEY MEDICAL PRACTICE,4
382.68,00M,2018-08-01,46,1359,A81019,CROSSFELL HEALTH CENTRE,4
294.81,00M,2018-08-01,67,1722,A81020,MARTONSIDE MEDICAL CENTRE,4
551.82,00M,2018-08-01,119,2327,A81021,NORMANBY MEDICAL CENTRE,4
396.34,00M,2018-08-01,48,1205,A81022,HILLSIDE PRACTICE,4
17.85,00M,2018-08-01,19,413,A81023,THE ENDEAVOUR PRACTICE,4
362.79,00K,2018-08-01,30,743,A81025,THE DOVECOT SURGERY,4
388.29,00M,2018-08-01,109,3055,A81026,LINTHORPE SURGERY,4
876.05,00K,2018-08-01,136,2922,A81027,YARM MEDICAL PRACTICE,4
140.82,00M,2018-08-01,32,581,A81029,PROSPECT SURGERY,4
260.56,00M,2018-08-01,98,2062,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
338.13,00K,2018-08-01,55,1901,A81031,HAVELOCK GRANGE PRACTICE,4
368.21,00M,2018-08-01,71,2082,A81032,THE GARTH,4
1493.56,00K,2018-08-01,113,3620,A81034,THORNABY & BARWICK MEDICAL GROUP,4
55.73,00M,2018-08-01,49,1120,A81035,NEWLANDS MEDICAL CENTRE,4
1953.94,00K,2018-08-01,152,4778,A81036,NORTON MEDICAL CENTRE,4
25.63,00M,2018-08-01,19,511,A81037,THE ERIMUS PRACTICE,4
61.03,00M,2018-08-01,14,217,A81038,HIRSEL MEDICAL CENTRE,4
1000.68,00K,2018-08-01,56,1716,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
673.83,00K,2018-08-01,44,1210,A81040,MARSH HOUSE MEDICAL PRACTICE,4
180.24,00K,2018-08-01,59,1309,A81041,HART MEDICAL PRACTICE,4
476.77,00M,2018-08-01,111,1904,A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,4
279.93,00M,2018-08-01,43,1234,A81043,THE MANOR HOUSE SURGERY,4
710.29,00K,2018-08-01,139,2496,A81044,MCKENZIE HOUSE SURGERY,4
236.95,00M,2018-08-01,71,1337,A81045,THE COATHAM ROAD SURGERY,4
982.99,00K,2018-08-01,105,2909,A81046,WOODLANDS FAMILY MEDICAL CENTRE,4
286.69,00M,2018-08-01,128,1553,A81048,ZETLAND MEDICAL PRACTICE,4
160.87,00M,2018-08-01,33,737,A81049,KINGS MEDICAL CENTRE,4
295.77,00M,2018-08-01,34,915,A81051,CAMBRIDGE MEDICAL GROUP,4
499.96,00M,2018-08-01,102,1914,A81052,THE GREEN HOUSE SURGERY,4
110.34,00M,2018-08-01,44,647,A81053,WOODSIDE SURGERY,4
454.36,00M,2018-08-01,95,1853,A81054,THE SALTSCAR SURGERY,4
398.76,00K,2018-08-01,17,716,A81056,MELROSE SURGERY,4
1086.68,00K,2018-08-01,60,1881,A81057,KINGSWAY MEDICAL CENTRE,4
113.49,00M,2018-08-01,64,1672,A81058,COULBY MEDICAL PRACTICE,4
134.01,00K,2018-08-01,29,874,A81060,THE KOH PRACTICE,4
161.51,00K,2018-08-01,30,716,A81063,THE HEADLAND MEDICAL CENTRE,4
243.58,00M,2018-08-01,24,606,A81064,THE DISCOVERY PRACTICE,4
64.99,00M,2018-08-01,16,448,A81065,THE ESTON SURGERY,4
316.98,00K,2018-08-01,18,560,A81066,PARK LANE SURGERY,4
850.93,00K,2018-08-01,48,1494,A81067,ALMA MEDICAL CENTRE,4
466.2,00K,2018-08-01,73,1242,A81070,MCKENZIE GROUP PRACTICE,4
229.89,00K,2018-08-01,12,336,A81602,DR RASOOL,4
323.11,00K,2018-08-01,17,513,A81608,ELM TREE SURGERY,4
674.32,00K,2018-08-01,33,990,A81610,THE ROSEBERRY PRACTICE,4
362.7,00M,2018-08-01,49,1428,A81611,PARKWAY MEDICAL CENTRE,4
164.95,00K,2018-08-01,27,398,A81612,THE PATEL PRACTICE,4
691.77,00M,2018-08-01,160,3782,A81618,HUNTCLIFF SURGERY,4
7.04,00M,2018-08-01,11,133,A81621,THORNTREE SURGERY,4
221.1,00K,2018-08-01,48,651,A81622,GLADSTONE HOUSE SURGERY,4
710.75,00K,2018-08-01,37,939,A81629,RIVERSIDE MEDICAL PRACTICE,4
340.91,00K,2018-08-01,32,986,A81631,WEST VIEW MILLENIUM SURGERY A,4
1.3,00K,2018-08-01,4,28,A81634,THE ARRIVAL PRACTICE,4
473.96,01K,2018-08-01,61,2055,A82003,ULVERSTON HEALTH CENTRE (MURRAY),4
168.27,01H,2018-08-01,14,233,A82004,ALSTON MEDICAL PRACTICE,4
69.53,01K,2018-08-01,39,903,A82005,AMBLESIDE HEALTH CENTRE,4
621.71,01H,2018-08-01,35,1051,A82006,APPLEBY MEDICAL PRACTICE,4
570.48,01K,2018-08-01,83,2298,A82007,DUKE STREET SURGERY,4
799.2,01K,2018-08-01,82,2516,A82008,NORWOOD MEDICAL CENTRE,4
772.98,01K,2018-08-01,81,2425,A82009,BRIDGEGATE MEDICAL CENTRE,4
352.02,01K,2018-08-01,57,1492,A82010,ABBEY ROAD SURGERY,4
607.22,01H,2018-08-01,131,2274,A82012,BRAMPTON MEDICAL PRACTICE,4
354.53,01H,2018-08-01,49,1335,A82013,UPPER EDEN MEDICAL PRACTICE,4
238.12,01H,2018-08-01,66,684,A82014,CALDBECK SURGERY,4
141.01,01H,2018-08-01,30,870,A82015,WARWICK ROAD SURGERY,4
1233.13,01H,2018-08-01,155,5151,A82016,CARLISLE HEALTHCARE,4
712.95,01H,2018-08-01,60,2323,A82018,SPENCER ST SURGERY,4
373.68,01H,2018-08-01,57,1686,A82019,FUSEHILL MEDICAL PRACTICE,4
1240.01,01H,2018-08-01,82,2812,A82020,EDEN MEDICAL GROUP,4
1332.77,01H,2018-08-01,118,3843,A82021,CASTLEGATE AND DERWENT SURGERY,4
97.12,01H,2018-08-01,47,595,A82022,DALSTON MEDICAL GROUP,4
178.02,01H,2018-08-01,31,899,A82023,DISTINGTON SURGERY,4
173.69,01H,2018-08-01,41,1178,A82024,SEASCALE HEALTH CENTRE,4
