Clinical Commissioning Group Code (2019),Clinical Commissioning Group Name (2019),IDAOPI - Average rank,IDAOPI - Rank of average rank,IDAOPI - Average score,IDAOPI - Rank of average score,IDAOPI - Proportion of LSOAs in most deprived 10% nationally,IDAOPI - Rank of proportion of LSOAs in most deprived 10% nationally
E38000001,"NHS Airedale, Wharfedale and Craven CCG",10945.8,155,0.108,143,0.0928,59
E38000002,NHS Ashford CCG,12968.5,120,0.114,123,0.0128,140
E38000004,NHS Barking and Dagenham CCG,25602.05,10,0.261,14,0.1636,43
E38000005,NHS Barnet CCG,17645.37,56,0.163,66,0.0664,75
E38000006,NHS Barnsley CCG,17755.03,52,0.163,64,0.0272,110
E38000007,NHS Basildon and Brentwood CCG,13183.26,114,0.124,109,0.0192,127
E38000008,NHS Bassetlaw CCG,13219.27,112,0.118,116,0.0286,109
E38000009,NHS Bath and North East Somerset CCG,10524.23,164,0.096,164,0,157
E38000010,NHS Bedfordshire CCG,10476.62,165,0.098,161,0.0269,111
E38000011,NHS Bexley CCG,12113.23,136,0.109,137,0.0205,121
E38000014,NHS Blackburn with Darwen CCG,19619.73,37,0.238,19,0.2857,15
E38000015,NHS Blackpool CCG,22898.47,19,0.231,23,0.234,25
E38000016,NHS Bolton CCG,17719.19,53,0.191,44,0.1864,38
E38000018,NHS Bradford City CCG,31474.39,1,0.528,1,0.8605,1
E38000019,NHS Bradford Districts CCG,19102.3,42,0.203,37,0.2211,27
E38000020,NHS Brent CCG,25010.04,14,0.258,15,0.2023,34
E38000021,NHS Brighton and Hove CCG,19143.76,41,0.187,46,0.1333,49
E38000023,NHS Bromley CCG,10682.33,159,0.101,152,0.0254,114
E38000024,NHS Bury CCG,15350.23,90,0.145,86,0.0667,74
E38000025,NHS Calderdale CCG,14673.54,97,0.14,89,0.0781,65
E38000026,NHS Cambridgeshire and Peterborough CCG,11765.45,144,0.108,142,0.0217,118
E38000027,NHS Camden CCG,21767.16,26,0.232,22,0.2406,23
E38000028,NHS Cannock Chase CCG,16564.71,73,0.146,84,0.0122,141
E38000029,NHS Canterbury and Coastal CCG,12911.36,121,0.113,126,0,157
E38000030,NHS Castle Point and Rochford CCG,12059.08,137,0.105,147,0,157
E38000031,NHS Central London (Westminster) CCG,18818.27,44,0.198,40,0.1489,46
E38000034,NHS Chorley and South Ribble CCG,12984.58,119,0.117,120,0.0196,125
E38000035,NHS City and Hackney CCG,29049.48,4,0.387,3,0.74,2
E38000037,NHS Corby CCG,16400.77,74,0.147,82,0,157
