Time period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Quit,Closed group,0
2018/19,E06000001,E12000001,Quit,Drop-in clinic,382
2018/19,E06000001,E12000001,Quit,Family/couples group,0
2018/19,E06000001,E12000001,Quit,One to one,46
2018/19,E06000001,E12000001,Quit,Open group,0
2018/19,E06000001,E12000001,Quit,Other,0
2018/19,E06000001,E12000001,Quit,Telephone support,0
2018/19,E06000001,E12000001,Set quit date,Closed group,0
2018/19,E06000001,E12000001,Set quit date,Drop-in clinic,945
2018/19,E06000001,E12000001,Set quit date,Family/couples group,0
2018/19,E06000001,E12000001,Set quit date,One to one,142
2018/19,E06000001,E12000001,Set quit date,Open group,0
2018/19,E06000001,E12000001,Set quit date,Other,0
2018/19,E06000001,E12000001,Set quit date,Telephone support,0
2018/19,E06000002,E12000001,Quit,Closed group,0
2018/19,E06000002,E12000001,Quit,Drop-in clinic,308
2018/19,E06000002,E12000001,Quit,Family/couples group,1
2018/19,E06000002,E12000001,Quit,One to one,191
2018/19,E06000002,E12000001,Quit,Open group,0
2018/19,E06000002,E12000001,Quit,Other,0
2018/19,E06000002,E12000001,Quit,Telephone support,0
2018/19,E06000002,E12000001,Set quit date,Closed group,0
2018/19,E06000002,E12000001,Set quit date,Drop-in clinic,595
2018/19,E06000002,E12000001,Set quit date,Family/couples group,1
2018/19,E06000002,E12000001,Set quit date,One to one,580
2018/19,E06000002,E12000001,Set quit date,Open group,0
2018/19,E06000002,E12000001,Set quit date,Other,0
2018/19,E06000002,E12000001,Set quit date,Telephone support,0
2018/19,E06000003,E12000001,Quit,Closed group,0
2018/19,E06000003,E12000001,Quit,Drop-in clinic,260
2018/19,E06000003,E12000001,Quit,Family/couples group,0
2018/19,E06000003,E12000001,Quit,One to one,297
2018/19,E06000003,E12000001,Quit,Open group,0
2018/19,E06000003,E12000001,Quit,Other,0
2018/19,E06000003,E12000001,Quit,Telephone support,0
2018/19,E06000003,E12000001,Set quit date,Closed group,0
2018/19,E06000003,E12000001,Set quit date,Drop-in clinic,463
2018/19,E06000003,E12000001,Set quit date,Family/couples group,0
2018/19,E06000003,E12000001,Set quit date,One to one,723
2018/19,E06000003,E12000001,Set quit date,Open group,0
2018/19,E06000003,E12000001,Set quit date,Other,0
2018/19,E06000003,E12000001,Set quit date,Telephone support,1
2018/19,E06000004,E12000001,Quit,Closed group,0
2018/19,E06000004,E12000001,Quit,Drop-in clinic,532
2018/19,E06000004,E12000001,Quit,Family/couples group,0
2018/19,E06000004,E12000001,Quit,One to one,160
2018/19,E06000004,E12000001,Quit,Open group,0
2018/19,E06000004,E12000001,Quit,Other,0
2018/19,E06000004,E12000001,Quit,Telephone support,0
2018/19,E06000004,E12000001,Set quit date,Closed group,1
2018/19,E06000004,E12000001,Set quit date,Drop-in clinic,1184
2018/19,E06000004,E12000001,Set quit date,Family/couples group,0
2018/19,E06000004,E12000001,Set quit date,One to one,489
2018/19,E06000004,E12000001,Set quit date,Open group,0
2018/19,E06000004,E12000001,Set quit date,Other,0
2018/19,E06000004,E12000001,Set quit date,Telephone support,0
2018/19,E06000005,E12000001,Quit,Closed group,0
2018/19,E06000005,E12000001,Quit,Drop-in clinic,1
2018/19,E06000005,E12000001,Quit,Family/couples group,0
2018/19,E06000005,E12000001,Quit,One to one,189
2018/19,E06000005,E12000001,Quit,Open group,0
2018/19,E06000005,E12000001,Quit,Other,0
2018/19,E06000005,E12000001,Quit,Telephone support,0
2018/19,E06000005,E12000001,Set quit date,Closed group,0
2018/19,E06000005,E12000001,Set quit date,Drop-in clinic,1
2018/19,E06000005,E12000001,Set quit date,Family/couples group,0
2018/19,E06000005,E12000001,Set quit date,One to one,280
2018/19,E06000005,E12000001,Set quit date,Open group,0
2018/19,E06000005,E12000001,Set quit date,Other,1
2018/19,E06000005,E12000001,Set quit date,Telephone support,0
2018/19,E06000006,E12000002,Quit,Closed group,3
2018/19,E06000006,E12000002,Quit,Drop-in clinic,364
2018/19,E06000006,E12000002,Quit,Family/couples group,0
2018/19,E06000006,E12000002,Quit,One to one,191
2018/19,E06000006,E12000002,Quit,Open group,2
2018/19,E06000006,E12000002,Quit,Other,9
2018/19,E06000006,E12000002,Quit,Telephone support,0
2018/19,E06000006,E12000002,Set quit date,Closed group,3
2018/19,E06000006,E12000002,Set quit date,Drop-in clinic,559
2018/19,E06000006,E12000002,Set quit date,Family/couples group,0
2018/19,E06000006,E12000002,Set quit date,One to one,342
2018/19,E06000006,E12000002,Set quit date,Open group,4
2018/19,E06000006,E12000002,Set quit date,Other,11
2018/19,E06000006,E12000002,Set quit date,Telephone support,0
2018/19,E06000007,E12000002,Quit,Closed group,8
2018/19,E06000007,E12000002,Quit,Drop-in clinic,183
2018/19,E06000007,E12000002,Quit,Family/couples group,0
2018/19,E06000007,E12000002,Quit,One to one,519
2018/19,E06000007,E12000002,Quit,Open group,0
2018/19,E06000007,E12000002,Quit,Other,0
