,D82096,N83637,P85016,K83011,E83613,F84050,A86024,E81008,Y01291,J81625,F81134,C86015,F81756,B81035,E86026,F83022,N82641,H81126,A83009,L83036,G82120,C88086,A83018,N84008,E85692,P92003,C83014,E84018,F81035,J82117,E87756,P82016,M82026,C83019,D83011,N81102,H82011,N81007,M91013,G81100,M83020,P81037,E82085,F81163,B82083,P91014,C81045,B82034,H82014,N82009,N82670,F85697,G84003,N83025,M87024,E86001,J82029,C82096,F85004,M82048,D81631,E83653,N84017,L81117,K81069,G83651,N84002,M82035,K83010,P81140,J81010,C82046,H85005,B83032,E83657,A86021,N85620,M85600,G82025,P81079,M88004,K83047,Y03823,C83036,B85020,P84072,P86012,D83009,N81092,E82055,G82604,L85014,P81061,F85058,F81743,C82120,N82070,M83678,N82669,E86618,M89017,G82808,D82072,P81704,N82011,F81068,M86014,E82109,M85043,N84011,N81021,B86648,E83638,C83048,F81147,C88072,P84611,N81066,B85022,E81612,A89002,C81033,M92019,C86037,G85009,P85012,H82003,K81067,C85013,P84052,P81089,M87002,E83027,F81011,E85683,B81666,M81081,Y00969,G83005,M81049,N81061,E82131,F85007,L85035,E83629,H85022,E85715,P84024,M85116,G82060,P89015,N85019,B84618,N82052,G81057,L84043,P91029,H81080,F83008,G81042,G82687,M86040,D81025,N81001,P81062,G85052,G85708,M85011,P81073,N83019,N81108,M85009,A83020,N83601,P87654,P91018,P85021,N82053,N81037,F81749,P81685,P89014,E85041,J82022,H85020,M81020,G85726,P87019,B84011,P81149,K81047,H82078,E82046,F85031,P82007,P82021,N82014,P81086,G81043,M92010,C83062,G82187,F81608,F81132,A86017,E85004,P89016,J82629,M83715,M92630,P92651,M85717,D82034,N83603,C83064,E87737,P84059,H85072,B85021,E87754,G82215,P87040,H82025,L83081,C86020,M85071,P87022,M82619,M83692,A82038,F84006,M83033,L82049,P84042,P81014,P91035,M81075,F83003,M86624,E87026,C88006,M88635,Y04882,G85097,N82066,N81112,P89003,P87002,M84032,M83071,Y03418,F86008,N82035,M88018,G81011,M86010,M89015,F81037,M87018,K82062,Y00475,A88004,F81081,G85124,G81041,C83035,P84690,L83008,B82080,A82062,P84678,F81125,N83056,C82627,L81031,D83075,C88019,D82102,E84059,N81019,P89011,F81721,M91009,Y01929,Y00159,F81104,F85666,G85082,E84031,E82051,M86041,B81042,E82021,N82113,D82106,P87008,B86015,L83113,F81012,C82030,Y00542,H82043,E82001,G82230,M83031,A89032,P92002,E83632,F81153,E84058,M85177,C84024,N81026,Y02483,G81025,Y00612,P81087,E83013,P81130,P87016,M88021,F84714,Y02767,H85087,N82036,C83631,A81026,G81017,J81013,E82062,P91026,F84122,H82059,M83134,Y02610,C86024,H85637,Y04290,G82726,J82213,J83041,P85011,M84627,F82034,P81107,N85014,L85616,J81021,H85041,M87612,E82039,F83004,M82056,N82087,A83006,A84047,F81681,N84021,A81011,Y04995,K82061,P81046,E85732,F84096,P92004,C85030,B81032,J83014,P83017,B84009,E82056,F84657,A83022,P87027,L83067,C86018,P84672,E82015,C82031,P81081,K83028,P85019,M83722,L85065,H85054,B85612,Y02322,C84096,C82121,M85029,P81119,M84013,K81059,G81087,G83053,Y02045,G85005,C88030,B86059,Y03760,N82062,P83007,M91639,P84029,F84016,P81132,F85705,C82054,N83020,A82031,B81039,E84068,Y03662,M85663,J82069,H81021,N81109,L85018,P92021,E84022,C88032,Y05162,F84022,M83703,N83055,N83050,N83032,M83048,P84047,Y00446,G83039,E83021,N83024,M81042,M92014,J82132,E85633,E81059,M85023,P86010,B83012,E82081,F84015,H83044,F81100,P83605,J81036,P81197,A81020,M82033,C81030,E82045,M85014,P84021,L85050,P89613,G82799,N85007,M89009,L83130,P89002,P88006,F81114,E85051,J82056,M85030,M83025,F85013,P81699,P84025,J82628,P84032,N84034,C82061,P81038,E81057,M83701,P84064,Y04664,M91612,K81062,M82028,P81159,N84019,E86605,A88008,P86022,M85149
2015-12-01,100,,,,500,3000,,,,200,100,,,1000,,25,,,,,,,1000,,1500,,600,1000,,1000,50,,1000,,1000,,1000,100,600,,,100,1500,100,5000,,,,2500,,,,,,,,2000,,,,,,,,6000,,,,,,,,,,,500,,500,,,,,,,500,,,300,2000,,,,,,,,,,100,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,200,100,,,,,,,,300,500,,500,,,,,200,,,,,,,,,,,,,,,,,1000,,,,,,8000,,500,100,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,500,,,,,,,1000,,,,,,2000,,,,,,,,,,,,,,100,100,25,500,100,100,300,25,100,100,100,100,300,100,500,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,600,,,,1000,3000,,100,200,,,,,1000,,50,,,,,,,1000,,500,,,1000,,2000,50,,,,1000,,,100,600,500,,100,500,,5000,,,,2500,500,,,,,1000,,1000,,,,,100,1000,,,,,,,600,,,100,,,,,,3200,,,100,,100,,,,,,,,500,,,,,,,100,,,,,,,,,,,,,,,100,,,,,,,,100,,500,,,,,,200,100,,,,,,,,100,500,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,4000,,,100,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,500,200,500,25,25,2000,25,500,100,600,500,100,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,200,,,,500,6000,,,200,100,200,,,1000,,25,,,500,,,,1000,,500,,,1000,,1000,50,,1000,,1000,,1000,100,600,100,,100,1000,200,200,,,500,2500,,,,,,1000,,1000,,,,,100,,,,,,,,,,,,,,,,,,,,,,,500,,,300,1000,,,,,500,,,,,,100,,,,,,,,,,500,,,,,,,,,,,,200,,,,,,,,100,100,,2000,1000,,,,,100,500,,,,,,,100,,,,,,,,,,,,,,,,,1000,,,,,,4000,,,100,,,,,100,,,100,,,200,,,,,,,,,,200,,,,200,,,,,,,,,,,1000,,,,,,6000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,500,500,25,500,100,25,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,300,,,,500,3000,,,,,100,,,1000,,,50,,,,,,1000,,500,,900,1000,300,2000,100,,,500,1000,,1000,100,700,,,200,1000,,5000,100,,,,500,,,1000,,,,1000,,,,,,,,,,,,,300,,,,400,,,,1000,,,,200,,,500,,,,,100,,500,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,100,,,,,,,500,200,100,,,,,,,,100,500,,,,,,,100,,,,,,,,,,,,,,,,,1000,,,,,,4000,,,200,,,,,,,,,,,,,,,,,,,,,200,,,,,,,250,500,,,,,,,,,,,,200,,,,,,,,,,3000,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,100,200,100,100,500,1500,500,100,100,100,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,600,,,,500,3000,,,300,200,100,,,1000,,50,,,,,,,1000,,,,,,,1000,50,,,,500,,,200,1000,500,,,1000,200,,,,500,2500,,,,,,,,1000,,,,,,,100,3000,,,,,900,,,100,,,,,,1600,,,200,,,,,,300,1025,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,100,,,,,,,,100,100,,,,,,,,400,,,,,,,,100,,,,,,,,,,2000,,,,,,500,,,,,,,4000,,,100,,,,,,,,,,25,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,500,,,,,,,,,,,,,,,,,,,,,,,1000,100,25,100,100,100,1000,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,300,,,,500,3000,,,200,,100,,,2000,,25,,,1000,,,500,1000,,,,300,,150,1000,50,,1000,,500,,,100,100,500,,200,1000,,5000,,,500,2500,,,,1000,,,,1000,,,,,,,100,,,,,,300,,,,,,,,500,,,,100,,,,,,,,,,500,,,,,,,,100,,,,,,,,,,500,,,,100,,500,,,,,,100,,,,,,,,,100,,,,,,,,200,,,,,,,,100,,,1500,,,,,,,,,,,,,,2000,,,,,,4000,,,100,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,100,,,,300,,500,100,500,100,500,25,100,100,25,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,300,,100,,1000,3000,,,,200,100,,,1000,,25,,,500,,,500,1000,,500,,,,,2000,50,,,500,500,,,,600,100,,100,1000,200,5000,,1000,,,,,,1000,1500,,,2000,,,,,,1000,,6000,,,,,600,,,100,,,500,,500,,,,100,,100,,,,,1000,100,,500,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,12000,,,200,,,,,,,,,,25,,,,,,,,,,,100,,,,200,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,100,,,,,,,,,,,,,,,,,,,200,100,100,25,500,1000,100,25,25,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,100,,,500,500,6000,,,200,100,100,,,1000,,,,,500,,,,,,,100,600,,,1000,50,,,,1000,,1000,100,700,,,100,1000,,5000,,,500,,,,,,,,,,,,,,,,100,,,500,,,600,,,,,,,,,,,,100,,100,,,100,,,100,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,100,,,,,,,500,100,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,500,2000,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,500,,,500,,,,,,,,,,,500,,,,500,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,1000,,,,,,,,,,,,,,,,,,,,400,,,,,2000,,,,,,100,100,500,500,4000,25,25,100,100,200,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,100,500,500,9000,,,200,,100,,,,,25,25,,500,,,,1000,,1000,,300,,,1000,50,,,,,,,100,600,600,,100,1000,200,15100,,,500,2500,,,,1000,1500,,,2000,,,,,,,,3000,,,,,900,,,,,,500,,,,,,100,,,,,,,,,,500,,,,,,,,100,,,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,100,,,,,,,,,,,,,,,,,,,,,100,,,500,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,3000,,,,,,,100,200,25,500,500,1000,1000,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,500,6000,,100,200,300,100,,,,,25,,,,,,,1000,,,,300,,300,2000,100,,,,500,,1000,100,600,,,100,,200,,,1000,,2500,,,,,,1000,,1000,,500,,,,1000,100,,,,,,900,,,,,,1000,,,1600,,,100,,,,,,,,,,500,,500,,,,,100,,,,,100,,,,,,,,,,100,,,,,,,,100,,,,,,,,100,,,,,,25,,,,,,,,100,,,100,,,,,200,,,,,,,,,,,,,,,,,,12000,,,100,,,,,,,,,,,200,,,,,,,,,,100,100,,,200,,,,500,,,,,,,,,,,,,,,500,,1000,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,2000,,,,500,,,,,,,,,,,,,100,,,,,,,,1100,100,200,100,100,100,25,100,25,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,500,9000,,,,200,,,,,,,25,,,,,500,1000,,500,,600,,,1000,50,,,,500,,,100,1100,100,,200,,,,,,500,,,,,,1500,1000,,1000,,,,,,,100,,,,,,600,,,,,,500,,,,,,100,,,,,,,1000,100,,,,,,,,,100,,,,,,,,,,,500,,,,,,,,,,,,100,,,,,,,,300,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,4000,,,200,,,,,,,,,,,,500,,,100,,,,,,100,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,500,,,100,,1000,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,500,,,,,,,,,200,100,,,,,,,500,,,,,,,,,,,500,1000,25,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,,,,1000,3000,,,,200,100,,,1000,,25,25,,,,,,1000,,,,300,,150,1000,50,,,500,500,,1000,100,600,,,100,,,5000,,,,2500,,,,1000,,,,1000,,,,,,1000,,3000,,,,,700,,,100,,,,,,1600,,,100,,100,,,,,,,,500,,,,,,,100,,,,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,200,,,,,,,,,,,,1000,,,,,,4000,,,100,,,,,,,,,,,,,,,100,100,,,,,200,200,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,1000,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,100,,,,,,,1700,,,,,,125,,,,,,,,,,500,100,25,1000,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,500,3000,,100,200,400,100,,,1000,,,25,,500,,,,1000,,500,,,,150,1000,50,,,,500,,,100,1100,,,100,,,5000,,,500,2500,,,,1000,,,,1000,,,,,,1000,,,,,,,1200,,,,,,,,,,,,100,,100,,,,,500,,,,,,,,,,100,100,,,,,,,,,,500,,,,100,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,500,,8000,,,100,,,,,,,,,,,,,,,,100,,,,,100,,,,200,,,,500,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,25,,,,,,100,,,,,,,,600,,,,,100,,,,,,,,,,,,,,,,300,100,500,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,3000,,100,,300,200,,,1000,,,25,,,,,,1000,,,,300,,,1000,50,,,500,500,,1000,100,200,,,100,,,5000,,,,2500,,,,,,1000,,1000,,,,,,,,,,,,,800,,,100,,,,,,,,,100,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,8000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,100,100,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,100,,,6000,,,,200,100,,,1000,,25,25,,1000,,,,1000,,500,,,,300,1000,50,,,,1000,,1000,100,600,,,100,,,5000,,,500,2500,,,,,,1000,,1000,,,,,,,,,,,,,1200,,,,,,,,,,,,100,,,,,,,,,,500,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,,,,,,,,,,,25,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,6000,,100,200,400,200,,,1000,,,25,,500,,,500,,,,,,,150,1000,50,,,500,1000,,,100,1100,,,100,1000,200,,,,,2500,,,,,,1000,,1000,,,,,,1000,,3000,,,,,800,,,100,,,,,,,,,,,,,,,,500,,,,,1000,,,,,100,,,,500,100,,,,,,500,,,,,,,,,,,,100,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,100,,,,,100,,,500,200,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,100,100,,,,,,,600,,,,,,,,,,,,1000,,,,,,,,,,,,,100,,,,,,100,,,,,,400,50,100,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,3000,100,,,200,100,,,1000,,25,25,,1000,,,,1000,,500,,300,,,,100,,,,500,,1000,100,500,,,200,,,5000,,,500,2500,,,,1000,500,,,1000,,,,,,1000,,,,,,,800,,,,,,,,500,,,,200,,100,,,,,,100,,500,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1000,,,,,,8000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,1000,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,100,,100,,,500,100,100,500,500,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,3000,,,,200,100,,500,,,25,25,,500,,,,1000,,,,,,150,,50,,100,,1000,,,100,500,,,100,,,,,,,,,,,,1500,500,,,,,,,,1000,,,,,,,,,,100,,,,,,1600,,,100,,,,,,,1500,,,,,,,,,,100,,,,,100,,,,,,500,,,,,,,,,,,,200,,500,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,50,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,25,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,100,,500,,100,,,,,,,250,,,500,100,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,,,,3000,,,,200,100,,,1000,,,25,,,,,,1000,,1000,,,,,,50,,100,500,500,,1000,100,500,,,100,,,,,,500,,,,,,,1500,,1000,,,,,,1000,,,,500,,,,,,,,,,,500,,,,100,,100,,,,,,100,,500,,,,,,,200,,,500,,,,,,,,,,,,,,,,,,,,100,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,4000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,100,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,100,,,,,,,,100,,,,,,,,,,,100,,,500,200,100,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,,200,100,,,,1000,,25,25,,,,,,1000,,,,,,,,50,,300,500,1000,,,100,500,,,200,,,5000,,,,2500,,,,,,2000,,,,,,,,1000,,,,,,,,,,,,,,,,,,,100,,,,,,,1000,100,,500,,500,,,,,,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,4000,,,200,,,,,,,,,,,100,,,,,,,,,,,,,,,1000,,,500,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,100,,100,,,,,,100,,,,,,,500,,,,,,,500,,,,,50,700,500,500,100,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,100,,,6000,,100,,100,100,,,1000,,,25,,,,,,1000,,,,,,150,,50,,150,500,,,1000,,500,,,100,,200,,,,500,5000,,,,,1500,2000,,1000,,,,,,1000,,3000,,,500,,,,,,,,,,500,,,,100,,,,,,,1000,,,,,,,,,,100,,,,,,,,,,,500,,,,,,500,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1000,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,1500,,500,,,,,,1000,,,,,,150,500,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
