"code_stem","code_name"
"01","Gastro-Intestinal System"
"0101","Dyspep&Gastro-Oesophageal Reflux Disease"
"010101","Antacids and Simeticone"
"010102","Compound Alginates&Prop Indigestion Prep"
"0102","Antispasmod.&Other Drgs Alt.Gut Motility"
"0103","Antisecretory Drugs+Mucosal Protectants"
"010301","H2-Receptor Antagonists"
"010302","Selective Antimuscarinics"
"010303","Chelates And Complexes"
"010304","Prostaglandin Analogues"
"010305","Proton Pump Inhibitors"
"0104","Acute Diarrhoea"
"010401","Adsorbents And Bulk-Forming Drugs"
"010402","Antimotility Drugs"
"010403","Enkephalinase Inhibitors"
"010404","Tryptophan Hydroxylase Inhibitors"
"0105","Chronic Bowel Disorders"
"010501","Aminosalicylates"
"010502","Corticosteroids"
"010503","Drugs Affecting Immune Response"
"010504","Food Allergy"
"0106","Laxatives"
"010601","Bulk-Forming Laxatives"
"010602","Stimulant Laxatives"
"010603","Faecal Softeners"
"010604","Osmotic Laxatives"
"010605","Bowel Cleansing Preparations"
"010606","Peripheral Opioid-Receptor Antagonists"
"010607","Other Drugs Used In Constipation"
"0107","Local Prepn for Anal & Rectal Disorders"
"010701","Soothing Haemorrhoidal Preparations"
"010702","Co Haemorrhoidal Prep's + Corticosteroid"
"010703","Rectal Sclerosants"
"010704","Management of Anal Fissures"
"0108","Stoma Care"
"010801","Local Care of Stoma"
"0109","Drugs Affecting Intestinal Secretions"
"010901","Drugs Affecting Biliary Composition&Flow"
"010904","Pancreatin"
"02","Cardiovascular System"
"0201","Positive Inotropic Drugs"
"020101","Cardiac Glycosides"
"020102","Phosphodiesterase Type-3 Inhibitors"
"0202","Diuretics"
"020201","Thiazides And Related Diuretics"
"020202","Loop Diuretics"
"020203","Pot-Sparing Diuretics&Aldosterone Antag"
"020204","Potassium Sparing Diuretics & Compounds"
"020205","Osmotic Diuretics"
"020208","Diuretics With Potassium"
"0203","Anti-Arrhythmic Drugs"
"020302","Drugs For Arrhythmias"
"0204","Beta-Adrenoceptor Blocking Drugs"
"0205","Hypertension and Heart Failure"
"020501","Vasodilator Antihypertensive Drugs"
"020502","Centrally-Acting Antihypertensive Drugs"
"020503","Adrenergic Neurone Blocking Drugs"
"020504","Alpha-Adrenoceptor Blocking Drugs"
"020505","Renin-Angiotensin System Drugs"
"020508","Other Adrenergic Neurone Blocking Drugs"
"0206","Nit,Calc Block & Other Antianginal Drugs"
"020601","Nitrates"
"020602","Calcium-Channel Blockers"
"020603","Other Antianginal Drugs"
"020604","Peripheral Vasodilators & Related Drugs"
"0207","Sympathomimetics"
"020701","Inotropic Sympathomimetics"
"020702","Vasoconstrictor Sympathomimetics"
"020703","Cardiopulmonary Resuscitation"
"0208","Anticoagulants And Protamine"
"020801","Parenteral Anticoagulants"
"020802","Oral Anticoagulants"
"020803","Protamine Sulfate"
"0209","Antiplatelet Drugs"
"0210","Stable Angina, Acute/Crnry Synd&Fibrin"
"021002","Fibrinolytic Drugs"
"0211","Antifibrinolytic Drugs & Haemostatics"
"0212","Lipid-Regulating Drugs"
"0213","Local Sclerosants"
"03","Respiratory System"
"0301","Bronchodilators"
"030101","Adrenoceptor Agonists"
"030102","Antimuscarinic Bronchodilators"
"030103","Theophylline"
"030104","Compound Bronchodilator Preparations"
"0302","Corticosteroids (Respiratory)"
"0303","Cromoglycate,Rel,Leukotriene Antagonists"
"030301","Cromoglycate and Related Therapy"
"030302","Leukotriene Receptor Antagonists"
"030303","Phosphodiesterase Type-4 Inhibitors"
"0304","Antihist, Hyposensit & Allergic Emergen"
"030401","Antihistamines"
"030402","Allergen Immunotherapy"
"030403","Allergic Emergencies"
"0305","Resp Stimulants & Pulmonary Surfactants"
"030501","Respiratory Stimulants"
"0306","Oxygen"
"0307","Mucolytics"
"0308","Aromatic Inhalations"
"0309","Cough Preparations"
"030901","Cough Suppressants"
"030902","Expectorant & Demulcent Cough Prep's"
"0310","Systemic Nasal Decongestants"
"0311","Antifibrotics"
"031101","Antifibrotics"
"04","Central Nervous System"
"0401","Hypnotics And Anxiolytics"
"040101","Hypnotics"
"040102","Anxiolytics"
"040103","Barbiturates"
"0402","Drugs Used In Psychoses & Rel.Disorders"
"040201","Antipsychotic Drugs"
"040202","Antipsychotic Depot Injections"
"040203","Drugs Used for Mania and Hypomania"
"0403","Antidepressant Drugs"
"040301","Tricyclic & Related Antidepressant Drugs"
"040302","Monoamine-Oxidase Inhibitors (Maois)"
"040303","Selective Serotonin Re-Uptake Inhibitors"
"040304","Other Antidepressant Drugs"
"0404","CNS Stimulants and drugs used for ADHD"
"0405","Obesity"
"040501","Gastro-Intestinal Anti-Obesity Drugs"
"040502","Centrally-Acting Appetite Suppressants"
