,K84040,K81092,F86038,C88026,E83045,M85043,K84009,P81072,Y02849,C82678,J81054,M83697,L84030,A85003,M84008,K81024
2015-02-01,1,,,,,,,,,,,,,,,
2015-04-01,,1,,,,,,,,,,,,,,
2015-06-01,,,5,,,,,,,,,,,,,
2015-08-01,,,,1,1,,,,,,,,,,,
2015-10-01,,,,,1,,,,,,,,,,,
2016-04-01,,,,,,2,,,,,,,,,,
2016-07-01,,,,,,,1,5,,,,,,,,
2016-09-01,,,,,,,,,1,,,,,,,
2017-08-01,,,,,,,,,,1,,,,,,
2018-02-01,,,,,,,,,,,4,5,,,,
2018-07-01,,,,,,,,,,,,,1,,,
2019-06-01,,,,,,,,,,,,,,1,,
2019-08-01,,,,,,,,,,,,,,,1,5
2019-09-01,,,,,,,,,,,,,,,32,
