Time period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Quit,Home carer,37
2018/19,E06000001,E12000001,Quit,Intermediate,33
2018/19,E06000001,E12000001,Quit,Managerial/professional,31
2018/19,E06000001,E12000001,Quit,Prisoner,0
2018/19,E06000001,E12000001,Quit,Retired,73
2018/19,E06000001,E12000001,Quit,Routine and manual,114
2018/19,E06000001,E12000001,Quit,Sick/disabled,50
2018/19,E06000001,E12000001,Quit,Student,6
2018/19,E06000001,E12000001,Quit,Unable to code,6
2018/19,E06000001,E12000001,Quit,Unemployed,78
2018/19,E06000001,E12000001,Set quit date,Home carer,115
2018/19,E06000001,E12000001,Set quit date,Intermediate,56
2018/19,E06000001,E12000001,Set quit date,Managerial/professional,81
2018/19,E06000001,E12000001,Set quit date,Prisoner,0
2018/19,E06000001,E12000001,Set quit date,Retired,149
2018/19,E06000001,E12000001,Set quit date,Routine and manual,247
2018/19,E06000001,E12000001,Set quit date,Sick/disabled,132
2018/19,E06000001,E12000001,Set quit date,Student,30
2018/19,E06000001,E12000001,Set quit date,Unable to code,13
2018/19,E06000001,E12000001,Set quit date,Unemployed,264
2018/19,E06000002,E12000001,Quit,Home carer,42
2018/19,E06000002,E12000001,Quit,Intermediate,54
2018/19,E06000002,E12000001,Quit,Managerial/professional,36
2018/19,E06000002,E12000001,Quit,Prisoner,0
2018/19,E06000002,E12000001,Quit,Retired,57
2018/19,E06000002,E12000001,Quit,Routine and manual,154
2018/19,E06000002,E12000001,Quit,Sick/disabled,54
2018/19,E06000002,E12000001,Quit,Student,13
2018/19,E06000002,E12000001,Quit,Unable to code,0
2018/19,E06000002,E12000001,Quit,Unemployed,90
2018/19,E06000002,E12000001,Set quit date,Home carer,89
2018/19,E06000002,E12000001,Set quit date,Intermediate,106
2018/19,E06000002,E12000001,Set quit date,Managerial/professional,79
2018/19,E06000002,E12000001,Set quit date,Prisoner,0
2018/19,E06000002,E12000001,Set quit date,Retired,133
2018/19,E06000002,E12000001,Set quit date,Routine and manual,297
2018/19,E06000002,E12000001,Set quit date,Sick/disabled,145
2018/19,E06000002,E12000001,Set quit date,Student,37
2018/19,E06000002,E12000001,Set quit date,Unable to code,0
2018/19,E06000002,E12000001,Set quit date,Unemployed,290
2018/19,E06000003,E12000001,Quit,Home carer,25
2018/19,E06000003,E12000001,Quit,Intermediate,36
2018/19,E06000003,E12000001,Quit,Managerial/professional,53
2018/19,E06000003,E12000001,Quit,Prisoner,0
2018/19,E06000003,E12000001,Quit,Retired,123
2018/19,E06000003,E12000001,Quit,Routine and manual,165
2018/19,E06000003,E12000001,Quit,Sick/disabled,52
2018/19,E06000003,E12000001,Quit,Student,6
2018/19,E06000003,E12000001,Quit,Unable to code,0
2018/19,E06000003,E12000001,Quit,Unemployed,97
2018/19,E06000003,E12000001,Set quit date,Home carer,56
2018/19,E06000003,E12000001,Set quit date,Intermediate,73
2018/19,E06000003,E12000001,Set quit date,Managerial/professional,101
2018/19,E06000003,E12000001,Set quit date,Prisoner,0
2018/19,E06000003,E12000001,Set quit date,Retired,208
2018/19,E06000003,E12000001,Set quit date,Routine and manual,329
2018/19,E06000003,E12000001,Set quit date,Sick/disabled,134
2018/19,E06000003,E12000001,Set quit date,Student,27
2018/19,E06000003,E12000001,Set quit date,Unable to code,2
2018/19,E06000003,E12000001,Set quit date,Unemployed,257
2018/19,E06000004,E12000001,Quit,Home carer,35
2018/19,E06000004,E12000001,Quit,Intermediate,73
2018/19,E06000004,E12000001,Quit,Managerial/professional,90
2018/19,E06000004,E12000001,Quit,Prisoner,18
2018/19,E06000004,E12000001,Quit,Retired,106
2018/19,E06000004,E12000001,Quit,Routine and manual,183
2018/19,E06000004,E12000001,Quit,Sick/disabled,45
2018/19,E06000004,E12000001,Quit,Student,14
2018/19,E06000004,E12000001,Quit,Unable to code,10
2018/19,E06000004,E12000001,Quit,Unemployed,118
2018/19,E06000004,E12000001,Set quit date,Home carer,112
2018/19,E06000004,E12000001,Set quit date,Intermediate,126
2018/19,E06000004,E12000001,Set quit date,Managerial/professional,173
2018/19,E06000004,E12000001,Set quit date,Prisoner,41
2018/19,E06000004,E12000001,Set quit date,Retired,211
2018/19,E06000004,E12000001,Set quit date,Routine and manual,414
2018/19,E06000004,E12000001,Set quit date,Sick/disabled,123
2018/19,E06000004,E12000001,Set quit date,Student,48
2018/19,E06000004,E12000001,Set quit date,Unable to code,24
2018/19,E06000004,E12000001,Set quit date,Unemployed,402
2018/19,E06000005,E12000001,Quit,Home carer,7
2018/19,E06000005,E12000001,Quit,Intermediate,4
2018/19,E06000005,E12000001,Quit,Managerial/professional,27
2018/19,E06000005,E12000001,Quit,Prisoner,0
2018/19,E06000005,E12000001,Quit,Retired,26
2018/19,E06000005,E12000001,Quit,Routine and manual,71
2018/19,E06000005,E12000001,Quit,Sick/disabled,22
2018/19,E06000005,E12000001,Quit,Student,0
2018/19,E06000005,E12000001,Quit,Unable to code,0
2018/19,E06000005,E12000001,Quit,Unemployed,33
2018/19,E06000005,E12000001,Set quit date,Home carer,21
2018/19,E06000005,E12000001,Set quit date,Intermediate,5
2018/19,E06000005,E12000001,Set quit date,Managerial/professional,34
2018/19,E06000005,E12000001,Set quit date,Prisoner,0
2018/19,E06000005,E12000001,Set quit date,Retired,36
2018/19,E06000005,E12000001,Set quit date,Routine and manual,94
2018/19,E06000005,E12000001,Set quit date,Sick/disabled,37
2018/19,E06000005,E12000001,Set quit date,Student,4
2018/19,E06000005,E12000001,Set quit date,Unable to code,0
2018/19,E06000005,E12000001,Set quit date,Unemployed,51
2018/19,E06000006,E12000002,Quit,Home carer,21
2018/19,E06000006,E12000002,Quit,Intermediate,70
2018/19,E06000006,E12000002,Quit,Managerial/professional,51
2018/19,E06000006,E12000002,Quit,Prisoner,0
2018/19,E06000006,E12000002,Quit,Retired,106
2018/19,E06000006,E12000002,Quit,Routine and manual,109
2018/19,E06000006,E12000002,Quit,Sick/disabled,70
2018/19,E06000006,E12000002,Quit,Student,4
2018/19,E06000006,E12000002,Quit,Unable to code,21
2018/19,E06000006,E12000002,Quit,Unemployed,117
